,id,latitude,longitude,date_from,date_to,xmin,ymin,xmax,ymax
0,101507_2_0033_187,51.851296,20.185202,2020-05-15,2020-05-19,20.18396806301617,51.8500806996221,20.18664160370571,51.85258457896293
1,101507_2_0033_248,51.846549,20.183986,2020-05-15,2020-05-19,20.18165684619584,51.84521172874584,20.186063264231823,51.847959234350505
2,101507_2_0033_261,51.841394,20.198399,2020-05-15,2020-05-19,20.196380990197426,51.84023177027648,20.200469818044542,51.84271094150462
3,101507_2_0018_109,51.861189,20.258306,2020-05-15,2020-05-19,20.257620538219047,51.85982695254066,20.25887023444494,51.862704380684036
9,120906_2.0003.2761/2,49.908453,19.991767,2020-05-15,2020-05-19,19.988927025734547,49.90708319629105,19.994612539488273,49.909794288227545
10,120901_5.0001.273/2,49.905345,20.049845,2020-05-15,2020-05-19,20.048992075826874,49.904485984034075,20.05056135608563,49.906072887408946
11,121901_2.0004.563/2,49.93638,20.168377,2020-05-15,2020-05-19,20.162585640384513,49.93268343600444,20.17675304072861,49.94121613186269
12,121902_2.0002.510/2,49.963046,20.270317,2020-05-15,2020-05-19,20.266787134383637,49.95834109949612,20.275217723907748,49.9680931250964
13,121902_2.0002.729,49.947745,20.260722,2020-05-15,2020-05-19,20.259609015699926,49.94569292924213,20.26213869178828,49.94967674184141
14,260704_5.0010.16,50.869354,21.483436,2020-05-07,2020-05-11,21.482194238020774,50.867852026621776,21.48464002893007,50.87125316841189
15,260704_5.0003.1035,50.885613,21.494233,2020-05-07,2020-05-11,21.491240439188598,50.88509669925053,21.49756205788242,50.886199560645295
16,181004_2.0003.1471,50.068719,22.293273,2020-05-17,2020-05-21,22.2898425291553,50.06777375968141,22.295941977814874,50.07118749336609
17,060103_2.0030.402/3,52.080364,23.138795,2020-05-07,2020-05-11,23.129735015510835,52.0773331244316,23.146175523269754,52.0829642108709
18,060103_2.0002.283,52.068564,23.126808,2020-05-07,2020-05-11,23.125844688484637,52.06672927407698,23.12796742895963,52.071033727898566
19,281408_2.0010.112/6,54.000586,20.959148,2020-05-07,2020-05-11,20.954773495264625,53.99609794218007,20.964634038351875,54.004002540574845
20,281408_2.0010.112/5,54.002282,20.953044,2020-05-07,2020-05-11,20.949077890427265,53.99966892236596,20.956698510188115,54.003949328377
21,281408_2.0010.116,53.996616,20.952608,2020-05-07,2020-05-11,20.94836043511489,53.99355976546951,20.95485437028445,53.99805108243475
22,281408_2.0010.143,53.998774,20.947487,2020-05-07,2020-05-11,20.944083834103292,53.997748321441605,20.951866417217058,54.00178917634068
23,281408_2.0002.84,54.00373,20.9842,2020-05-07,2020-05-11,20.983229405328583,54.00197556274646,20.985382976000643,54.004410916838275
24,281408_2.0002.82/1,54.004033,20.983288,2020-05-07,2020-05-11,20.98213811542321,54.002885168212174,20.984541234726592,54.00607134941788
25,281408_2.0002.214,54.00913973835796,20.985302949698035,2020-05-07,2020-05-11,20.99211765534889,54.00449427594078,20.994287513614832,54.0056562066364
26,281408_2.0002.157,54.004862,20.993369,2020-05-07,2020-05-11,20.984545571322204,54.007601787422615,20.986396472656885,54.01067958486205
27,281408_2.0002.159,54.010629,20.985553,2020-05-07,2020-05-11,20.98451996555009,54.00985576264582,20.986404002846502,54.011392531242215
28,281408_2.0002.160,54.012044,20.985033,2020-05-07,2020-05-11,20.984176361497674,54.01102069504451,20.985996913976425,54.01353982562409
29,281408_2.0006.52/2,54.018146,20.98349,2020-05-07,2020-05-11,20.981456961078365,54.01691990549439,20.988303725639415,54.01974782609109
30,281408_2.0002.163/1,54.017138,20.9831,2020-05-07,2020-05-11,20.981456961078365,54.016262639040534,20.984673182036488,54.0188361682714
31,021804_4.0008.AR_27.61,51.15281062483644,16.57250024441561,2019-05-09,2019-05-13,16.569850019172737,51.14976117935204,16.575547224524335,51.157329999157106
32,021804_5.0016.181/2,51.15360530817153,16.553019898570042,2019-05-09,2019-05-13,16.54779114543649,51.14964061081857,16.55848387013034,51.15729708769517
33,021804_5.0002.365/2,51.1394100947986,16.52086434652933,2019-05-09,2019-05-13,16.51674346496242,51.13715254378486,16.523952260734106,51.141496581114275
34,021804_5.0002.196,51.12447556514206,16.530009660306373,2019-05-09,2019-05-13,16.52895917324593,51.12287975157536,16.53075225194064,51.12595997152728
35,021804_5.0002.332,51.119990740683846,16.527429414157012,2019-05-09,2019-05-13,16.52499828375311,51.11898139439027,16.529629503121683,51.12114451270966
36,021804_5.0003.98,51.1001802712932,16.56505469343538,2019-05-09,2019-05-13,16.562560077209532,51.09919755865166,16.56770353095742,51.10112699602321
38,021801_2.0014.333,51.079386021246506,16.554344236326475,2019-05-09,2019-05-13,16.547934919106442,51.07482320057398,16.560504744065458,51.08174851606918
39,021801_2.0017.42/1,51.061199188429434,16.561243802095504,2019-05-09,2019-05-13,16.560293126766297,51.05902971487929,16.562322091774778,51.062225843491994
